index	name	color
137	ctx_rh_G_front_inf-Triangul	#b4dc8c
138	ctx_rh_G_front_middle	#8c64b4
139	ctx_rh_G_front_sup	#b4148c
140	ctx_rh_G_Ins_lg_and_S_cent_ins	#170a0a
141	ctx_rh_G_insular_short	#e18c8c
142	ctx_rh_G_occipital_middle	#b43cb4
143	ctx_rh_G_occipital_sup	#14dc3c
144	ctx_rh_G_oc-temp_lat-fusifor	#3c148c
145	ctx_rh_G_oc-temp_med-Lingual	#dcb48c
146	ctx_rh_G_oc-temp_med-Parahip	#416414
147	ctx_rh_G_orbital	#dc3c14
148	ctx_rh_G_pariet_inf-Angular	#143cdc
149	ctx_rh_G_pariet_inf-Supramar	#64643c
150	ctx_rh_G_parietal_sup	#dcb4dc
151	ctx_rh_G_postcentral	#14b48c
152	ctx_rh_G_precentral	#3c8cb4
153	ctx_rh_G_precuneus	#19148c
154	ctx_rh_G_rectus	#143c64
155	ctx_rh_G_subcallosal	#3cdc14
156	ctx_rh_G_temp_sup-G_T_transv	#3c3cdc
157	ctx_rh_G_temp_sup-Lateral	#dc3cdc
158	ctx_rh_G_temp_sup-Plan_polar	#41dc3c
159	ctx_rh_G_temp_sup-Plan_tempo	#198c14
160	ctx_rh_G_temporal_inf	#dcdc64
161	ctx_rh_G_temporal_middle	#b43c3c
162	ctx_rh_Lat_Fis-ant-Horizont	#3d14dc
163	ctx_rh_Lat_Fis-ant-Vertical	#3d143c
164	ctx_rh_Lat_Fis-post	#3d3c64
165	ctx_rh_Pole_occipital	#8c143c
166	ctx_rh_Pole_temporal	#dcb414
167	ctx_rh_S_calcarine	#3fb4b4
168	ctx_rh_S_central	#dd140a
169	ctx_rh_S_cingul-Marginalis	#dd1464
170	ctx_rh_S_circular_insula_ant	#dd3c8c
171	ctx_rh_S_circular_insula_inf	#dd14dc
172	ctx_rh_S_circular_insula_sup	#3ddcdc
173	ctx_rh_S_collat_transv_ant	#64c8c8
174	ctx_rh_S_collat_transv_post	#0ac8c8
175	ctx_rh_S_front_inf	#dddc14
176	ctx_rh_S_front_middle	#8d1464
177	ctx_rh_S_front_sup	#3ddc64
178	ctx_rh_S_interm_prim-Jensen	#8d3c14
179	ctx_rh_S_intrapariet_and_P_trans	#8f14dc
180	ctx_rh_S_oc_middle_and_Lunatus	#653cdc
181	ctx_rh_S_oc_sup_and_transversal	#15148c
182	ctx_rh_S_occipital_ant	#3d14b4
183	ctx_rh_S_oc-temp_lat	#dd8c14
184	ctx_rh_S_oc-temp_med_and_Lingual	#8d64dc
185	ctx_rh_S_orbital_lateral	#dd6414
186	ctx_rh_S_orbital_med-olfact	#b5c814
187	ctx_rh_S_orbital-H_Shaped	#651414
188	ctx_rh_S_parieto_occipital	#6564b4
189	ctx_rh_S_pericallosal	#b5dc14
190	ctx_rh_S_postcentral	#158cc8
191	ctx_rh_S_precentral-inf-part	#1514f0
192	ctx_rh_S_precentral-sup-part	#1514c8
193	ctx_rh_S_suborbital	#15143c
194	ctx_rh_S_subparietal	#653c3c
195	ctx_rh_S_temporal_inf	#15b4b4
196	ctx_rh_S_temporal_sup	#dfdc3c
197	ctx_rh_S_temporal_transverse	#dd3c3c
220	Left-undetermined	#87ceeb
221	Right-undetermined	#87ceeb
